code,zh,pinyin,en,rank
CN001,毕宿,Bi Xiu,Net,1
CN002,壁宿,Bi Xiu,Wall,1
CN003,参宿,Shen Xiu,Three Stars,1
CN004,氐宿,Di Xiu,Root,1
CN005,斗宿,Dou Xiu,Dipper,1
CN006,房宿,Fang Xiu,Room,1
CN007,鬼宿,Gui Xiu,Ghosts,1
CN008,箕宿,Ji Xiu,Winnowing Basket,1
CN009,角宿,Jiao Xiu,Horn,1
CN010,井宿,Jing Xiu,Well,1
CN011,亢宿,Kang Xiu,Neck,1
CN012,奎宿,Kui Xiu,Legs,1
CN013,柳宿,Liu Xiu,Willow,1
CN014,娄宿,Lou Xiu,Bond,1
CN015,昴宿,Mao Xiu,Hairy Head,1
CN016,牛宿,Niu Xiu,Ox,1
CN017,女宿,Nü Xiu,Girl,1
CN018,室宿,Shi Xiu,Encampment,1
CN019,太微右垣,Tai Wei You Yuan,Supreme Palace Right Wall,2
CN020,太微左垣,Tai Wei Zuo Yuan,Supreme Palace Left Wall,2
CN021,天市右垣,Tian Shi You Yuan,Heavenly Market Right Wall,2
CN022,天市左垣,Tian Shi Zuo Yuan,Heavenly Market Left Wall,2
CN023,危宿,Wei Xiu,Rooftop,1
CN024,尾宿,Wei Xiu,Tail,1
CN025,胃宿,Wei Xiu,Stomach,1
CN026,心宿,Xin Xiu,Heart,1
CN027,星宿,Xing Xiu,Star,1
CN028,虚宿,Xu Xiu,Emptiness,1
CN029,翼宿,Yi Xiu,Wings,1
CN030,张宿,Zhang Xiu,Extended Net,1
CN031,轸宿,Zhen Xiu,Chariot,1
CN032,紫微右垣,Zi Wei You Yuan,Purple Forbidden Right Wall,2
CN033,紫微左垣,Zi Wei Zuo Yuan,Purple Forbidden Left Wall,2
CN034,觜宿,Zi Xiu,Turtle Beak,1
CN035,八谷,Ba Gu,Eight Kinds of Crops,3
CN036,八魁,Ba Kui,Net for Catching Birds,3
CN037,败瓜,Bai Gua,Rotten Gourd,3
CN038,败臼,Bai Jiu,Decayed Mortar,3
CN039,北斗,Bei Dou,Northern Dipper,3
CN040,北河,Bei He,North River,3
CN041,北极,Bei Ji,Northern Pole,3
CN042,北落师门,Bei Luo Shi Men,North Gate of the Military Camp,3
CN043,鳖,Bie,River Turtle,3
CN044,波斯,Bo Si,Persia,3
CN045,帛度,Bo Du,Textile Ruler,3
CN046,参旗,Can Qi,Banner of Three Stars,3
CN047,厕,Ce,Toilet,3
CN048,策,Ce,Whip,3
CN049,常陈,Chang Chen,Royal Guards,3
CN050,车府,Che Fu,Big Yard for Chariots,3
CN051,车骑,Che Qi,Chariots and Cavalry,3
CN052,车肆,Che Si,Commodity Market,3
CN053,刍藁,Chu Gao,Hay,3
CN054,杵 (箕宿),Chu(Ji Xiu),Pestle (In Winnowing Basket Mansion),3
CN055,杵 (危宿),Chu(Wei Xiu),Pestle (In Rooftop Mansion),3
CN056,长沙 (附轸宿),Chang Sha,Changsha (Vassal of Chariot),3
CN057,传舍,Chuan She,Guest House,3
CN058,从官 (房宿),Cong Guan(Fang Xiu),Retinue (In Room Mansion),3
CN059,从官 (太微垣),Cong Guan(Tai Wei Yuan),Retinue (In Supreme Palace Enclosure),3
CN060,大角,Da Jiao,Great Horn,3
CN061,大理,Da Li,Chief Judge,3
CN062,大陵,Da Ling,Mausoleum,3
CN063,天庙,Tiānmiào,Celestial Temple,
CN064,帝席,Di Xi,Mattress of the Emperor,3
CN065,帝座,Di Zuo,Emperor's Seat,3
CN066,东咸,Dong Xian,Eastern Door,3
CN067,斗,Dou,Dipper for Liquids,3
CN068,顿顽,Dun Wan,Trials,3
CN069,伐 (附参宿),Fa,Send Armed Forces To Suppress (Vassal of Three Stars),3
CN070,罚,Fa,Punishment,3
CN071,飞鱼,Fei Yu,Flying Fish,3
CN072,坟墓 (附危宿),Fen Mu,Tomb (Vassal of Rooftop),3
CN073,鈇钺,Fu Yue,Axe,3
CN074,鈇锧,Fu Zhi,Sickle,3
CN075,扶筐,Fu Kuang,Basket for Mulberry Leaves,3
CN076,附白,Fu Bai,White Patched Nearby,3
