code,hips
CN001,20889 20648 20455 20205
CN001,21421 20885 20713 20205 18724
CN001,21421 21683
CN002,1067 677
CN003,27989 26727 26311 25930 24436
CN003,25930 25336
CN003,26727 27366
CN004,72622 74392 76333 74785
CN005,89341 90496 92041 92855 93864 93506
CN006,78820 78401 78265 78104
CN007,41822 41909 42806 42911
CN008,88635 89931 90185 89642
CN009,65474 66249
CN010,35350 34088 32921 32246
CN010,32921 30883 30343
CN010,30883 31681 34088
CN010,31681 32362
CN010,30343 29655
CN011,69427 69701 70755
CN011,69427 69974
CN012,4463 3693 3885 3031 3092 2912 3881 4436 5447 5175 5586 6315 6193 5742 5571 5131 4463
CN013,42402 42799 43234 43109
CN013,42313 43109
CN013,43234 43813 44659 45336
CN014,9884 8903 8832
CN015,17499 17531 17579 17573
CN015,17499 17608 17702 17847
CN016,100345 100064 99572
CN016,100345 100881 101123 101027
CN016,100881 101027
CN017,102618 103045 102945 102624
CN018,113963 113881
CN019,57757 55434 55642 54879 54872
CN020,60129 61941 63090 63608 64241
CN021,80816 80170 79043 78072 77233 76276 77070 77622 79593 79882 81377
CN022,84379 85693 86974 88794 92614 93747 92946 89962 88048 86263 84012
CN023,109074 109427 107315
CN024,82396 82514 82671 84143 86228 87073 86670 85927 85696
CN024,82514 82545
CN025,12719 13061 13209
CN026,80112 80763 81266
CN027,46390 46509 46776 47431
CN027,46390 45811 45751 46744
CN027,46390 46744
CN028,106278 104987
CN029,53740 55705
CN029,53740 55598
CN029,53740 52943
CN029,55705 57283 55598
CN029,57283 58188
CN029,55705 55282 56802 55874 55687 53975
CN029,55687 56633 57587
CN029,55598 54682 54204
CN030,48356 49841 51069 49321
CN030,48356 49321
CN030,48356 47452
CN030,51069 52085
CN031,61359 60965 59803 59316
CN031,59803 60189
CN031,60965 61174
CN031,59316 59199
CN032,68756 61281 56211 46977 33104 22783 15520
CN033,75458 78527 80331 83895 92782 101260 114222 3721
CN034,26207 26176
CN034,26207 26366
CN035,28358 27949 27249 24348
CN035,27249 23040
CN035,23783 23734 27971
CN036,910 301 118178
CN036,910 355
CN036,910 1803
CN036,910 1170
CN037,101421 101483 101882 101800 101916
CN038,108085 109111 112948 112102
CN039,54061 53910 58001 59774 62956 65378 67301
CN040,37826 36850 36366
CN041,75097 72607 70692 69112 62572
CN042,113368 113368
CN043,90422 92308 93542 94005 94160 94114 93825 93174 92989 90968 90982 90422
CN044,101772 101772
CN045,88267 88886
CN046,22667 22957 22833 22845 22509 22449 22549 22797 23123
CN047,25985 25606 27072 27654
CN048,4427 4427
CN049,63125 62207 61692 61317 60646 59831 58684
CN050,112917 111944 110351 106481 103632 104060 106711
CN051,74395 71536 71121
CN052,80628 82369
CN053,11345 12002 10642
CN053,11261 11029 12390
CN054,86092 85792 85258
CN055,109937 109410 109056
CN056,60189 60189
CN057,117371 2707 4714 5589 10438 13665 16228 16281 16292
CN058,77634 76945
CN059,56975 56975
CN060,69673 69673
CN061,59504 59504
CN062,11060 13531 14632 14668 14576 14354 13254 12623
CN064,69226 68478 68103
CN065,84345 84345
CN066,80894 80569 80343 80975
CN067,80463 79492 79634 81008 81354
CN068,74604 75177
CN069,26237 26235 26241
CN069,26237 26311
CN070,79672 79005 78400
CN071,44382 34481
CN071,44382 41312
CN071,44382 40817
CN071,44382 35228
CN071,44382 37504
CN072,110960 110395
CN072,110960 111497
CN072,110960 110672
CN072,110960 109074
CN073,116889 117089 117629
CN074,6960 9347 9061
CN075,91755 90905 90156 92512 92997 93340 93713
CN076,17678 13244
CN077,2920 2920
CN078,87261 87261
CN079,108874 108991
CN080,17959 14862 9763 9802 9598 10031 9480 8016 7078
CN081,11569 8886 6686 5542 3801 3504
CN082,72105 71284 71053
CN083,113116 5372 11767 85822 82080 77055
CN084,78933 78990
CN084,78933 78820
CN085,96465 95477
CN086,98066 98353 98688 98162 98066
CN087,77048 76127 75695 76267 76952 77512 78159 78493 78459
CN088,40023 40881 41377 40240
CN089,83153 85267 85727 82363 83081
CN090,51232 52558 56561 57363
CN091,41037 45556 46974 47854 48002
CN093,98036 97649 97278
CN094,109268 112122 112623 112374 114996 113638 112122 114421
CN094,112122 114131
CN094,112122 112203 110936
CN094,112122 111043 109908
CN095,67464 67472 68245 68862
CN096,86032 86032
CN097,34444 35904 37819 38901 38070 37229 35904 33579 32759 35264 37819
CN098,82673 83000 82402 82073
CN099,54951 54951
CN100,102532 101958 101769 102281 102532
CN100,101769 101589
CN101,7078 7650
CN101,7078 5926
CN101,7078 5518
CN101,7078 6692
CN101,7078 7965
CN101,7078 9009
CN102,83430 83478 83613 84177
CN103,116231 116389 116602 765 2072 2081 3245 2472 5165 6867
CN104,42673 42673
CN105,13879 13879
CN106,19167 19167
CN107,37740 37740
CN108,78918 78384
CN109,24372 19780
CN110,93085 93683 94141 94820 95168 95176
CN111,92791 92420 93194 93903
CN112,79374 79374
CN113,19893 21281 26069 27100 29134
CN114,63414 63414
CN115,35710 35710
CN116,104680 104680
CN117,61960 62267 61579
CN118,21515 22109 22701 23221 23231 22479 22263 21763 23474
CN119,19777 19587 20507 21444 22024 21986
CN120,47723 46771 46454
CN121,110371 109176 107354 107310
CN122,17529 18532 18614 18246 17448 17313
CN123,24244 24327 24845 24873
CN124,5434 5434
CN125,30324 31700 33092 33248 33152 31125 30324
CN126,85423 85423
CN127,70027 69260 69536 69989
CN128,86929 88866 90797 92609 93015 99240 102395 91792 98495 105858 100751
CN129,108036 109472
CN130,68002 71352 68933 67457 65936 63945 61932 61622 60517 60823
CN131,62763 62763
CN132,60742 60697 60746 60904 60514 60351 61071 60941 59847 61394 61724 60957 59501 58858
CN133,30438 30438
CN134,115919 115444 114144 112935 112447 112029
CN135,145 118209 154 443 145
CN135,118209 114724 112961 111123 109139 107556 106985 106723 107188 107556
CN136,112440 112748
CN136,112051 112158
CN136,115250 115623
CN136,113881 112748
CN136,113881 112158
CN136,113881 115250
CN137,105140 106067
CN138,101936 101847 101692 101101
CN139,19205 19513 20430 20250
CN140,80179 80883
CN141,54182 53824 53807
CN142,32439 33694 39538 36547 23265 25110
CN143,101923 101984 102487
