hip,zh,pinyin,en,desig
43,王良增九,Wángliáng zēng IX,Wang Liang Added IX,HD224784
124,王良增十,Wángliáng zēng X,Wang Liang Added X,HD224893
145,垒壁阵十,Lěibìzhèn X,Line of Ramparts X,29 Psc
154,垒壁阵十二,Lěibìzhèn XII,Line of Ramparts XII,30 Psc
171,壁宿增五,Bìxiù zēng V,Wall Added V,85 Peg
186,土公增一,Tǔgōng zēng I,Official for Earthworks and Buildings Added I,31 Psc
194,土公一,Tǔgōng I,Official for Earthworks and Buildings I,c Psc
301,八魁二,Bākuí II,Net for Catching Birds II,2 Cet
330,王良增三,Wángliáng zēng III,Wang Liang Added III,9 Cas
355,八魁四,Bākuí IV,Net for Catching Birds IV,3 Cet
443,垒壁阵十一,Lěibìzhèn XI,Line of Ramparts XI,33 Psc
476,壁宿增十,Bìxiù zēng X,Wall Added X,86 Peg
531,王良增二,Wángliáng zēng II,Wang Liang Added II,10 Cas
635,垒壁阵增六,Lěibìzhèn zēng VI,Line of Ramparts Added VI,4 Cet
664,垒壁阵增七,Lěibìzhèn zēng VII,Line of Ramparts Added VII,5 Cet
677,壁宿二,Bìxiù II,Wall II,α And
729,壁宿增十八,Bìxiù zēng XVIII,Wall Added XVIII,87 Peg
746,王良一,Wángliáng I,Wang Liang I,β Cas
765,火鸟四,Huǒniǎo IV,Firebird IV,ε Phe
813,土公增二,Tǔgōng zēng II,Official for Earthworks and Buildings Added II,34 Psc
841,螣蛇增十九,Téngshé zēng XIX,Flying Serpent Added XIX,22 And
910,八魁一,Bākuí I,Net for Catching Birds I,6 Cet
1067,壁宿一,Bìxiù I,Wall I,γ Peg
1086,天厩增一,Tiānjiù zēng I,Celestial Stable Added I,23 And
1168,壁宿增十九,Bìxiù zēng XIX,Wall Added XIX,χ Peg
1170,八魁六,Bākuí VI,Net for Catching Birds VI,7 Cet
1196,土公增三,Tǔgōng zēng III,Official for Earthworks and Buildings Added III,35 Psc
1319,土公增四,Tǔgōng zēng IV,Official for Earthworks and Buildings Added IV,36 Psc
1340,壁宿增十一,Bìxiù zēng XI,Wall Added XI,HIP1340
1354,王良增十一,Wángliáng zēng XI,Wang Liang Added XI,HD1239
1366,天厩一,Tiānjiù I,Celestial Stable I,θ And
1427,壁宿增十七,Bìxiù zēng XVII,Wall Added XVII,HIP1427
1473,天厩三,Tiānjiù III,Celestial Stable III,σ And
1499,天仓增十九,Tiāncāng zēng XIX,Square Celestial Granary Added XIX,HD1461
1562,天仓一,Tiāncāng I,Square Celestial Granary I,ι Cet
1595,壁宿增十六,Bìxiù zēng XVI,Wall Added XVI,40 Psc
1599,鸟喙六,Niǎohuì VI,Bird's Beak VI,ζ Tuc
1645,土公增五,Tǔgōng zēng V,Official for Earthworks and Buildings Added V,d Psc
1686,天厩二,Tiānjiù II,Celestial Stable II,ρ And
1772,壁宿增十二,Bìxiù zēng XII,Wall Added XII,42 Psc
1803,八魁五,Bākuí V,Net for Catching Birds V,9 Cet
1948,壁宿增十三,Bìxiù zēng XIII,Wall Added XIII,HD2035
1960,王良增四,Wángliáng zēng IV,Wang Liang Added IV,12 Cas
1982,王良增十二,Wángliáng zēng XII,Wang Liang Added XII,HD2054
2006,土公增七,Tǔgōng zēng VII,Official for Earthworks and Buildings Added VII,44 Psc
2021,蛇尾一,Shéwěi I,Snake's Tail I,β Hyi
2025,土公二,Tǔgōng II,Official for Earthworks and Buildings II,45 Psc
2072,火鸟五,Huǒniǎo V,Firebird V,κ Phe
2081,火鸟六,Huǒniǎo VI,Firebird VI,α Phe
2100,土公增八,Tǔgōng zēng VIII,Official for Earthworks and Buildings Added VIII,10 Cet
2213,壁宿增廿一,Bìxiù zēng XXI,Wall Added XXI,46 Psc
2219,壁宿增廿,Bìxiù zēng XX,Wall Added XX,47 Psc
2224,壁宿增十五,Bìxiù zēng XV,Wall Added XV,48 Psc
2343,土公增九,Tǔgōng zēng IX,Official for Earthworks and Buildings Added IX,HIP2343
2353,天溷增一,Tiānhùn zēng I,Celestial Pigsty Added I,12 Cet
2355,奎宿增一,Kuíxiù zēng I,Legs Added I,28 And
2415,壁宿增十四,Bìxiù zēng XIV,Wall Added XIV,HD2714
2472,火鸟八,Huǒniǎo VIII,Firebird VIII,λ1 Phe
2474,传舍增一,Chuánshè zēng I,Guest House Added I,13 Cas
2484,鸟喙四,Niǎohuì IV,Bird's Beak IV,β1 Tuc
2505,王良五,Wángliáng V,Wang Liang V,λ Cas
2548,土公增六,Tǔgōng zēng VI,Official for Earthworks and Buildings Added VI,51 Psc
2568,壁宿增廿三,Bìxiù zēng XXIII,Wall Added XXIII,52 Psc
2599,王良二,Wángliáng II,Wang Liang II,κ Cas
2707,传舍二,Chuánshè II,Guest House II,16 Cas
2762,天溷增二,Tiānhùn zēng II,Celestial Pigsty Added II,13 Cet
2787,土公增十,Tǔgōng zēng X,Official for Earthworks and Buildings Added X,14 Cet
2854,王良增十三,Wángliáng zēng XIII,Wang Liang Added XIII,HD3240
2912,奎宿六,Kuíxiù VI,Legs VI,π And
2920,附路,Fùlù,Auxiliary Road,ζ Cas
2994,土公增十一,Tǔgōng zēng XI,Official for Earthworks and Buildings Added XI,15 Cet
3031,奎宿四,Kuíxiù IV,Legs IV,ε And
3092,奎宿五,Kuíxiù V,Legs V,δ And
3093,奎宿增三,Kuíxiù zēng III,Legs Added III,54 Psc
3138,奎宿增二,Kuíxiù zēng II,Legs Added II,55 Psc
3179,王良四,Wángliáng IV,Wang Liang IV,α Cas
3231,奎宿增廿二,Kuíxiù zēng XXII,Legs Added XXII,32 And
3245,火鸟七,Huǒniǎo VII,Firebird VII,μ Phe
3300,阁道增二,Gédào zēng II,Flying Corridor Added II,ξ Cas
3330,鸟喙五,Niǎohuì V,Bird's Beak V,ρ Tuc
3405,水委三,Shuǐweǐ III,Crooked Running Water III,η Phe
