hip,proper,ra,dec,mag,ci,con
88,,0.017941,-48.809876,5.710,0.911,Phe
107,,0.022255,-50.337373,5.530,1.615,Phe
122,,0.026616,-77.065724,4.780,1.254,Oct
124,,0.026949,61.222801,5.580,0.407,Cas
145,,0.030402,-3.027504,5.130,-0.128,Psc
154,,0.032672,-6.014072,4.370,1.631,Psc
171,,0.036139,27.082256,5.800,0.69,Peg
183,,0.038867,-29.720414,5.040,-0.15,Scl
194,,0.041584,8.485463,5.700,0.315,Psc
207,,0.043357,66.098966,5.870,1.073,Cas
301,,0.06233,-17.335988,4.550,-0.047,Cet
330,,0.070462,62.287664,5.900,0.274,Cas
343,,0.072165,-16.529036,5.780,1.084,Cet
355,,0.075033,-10.509523,4.990,1.619,Cet
377,,0.078131,-71.436891,5.590,-0.1,Tuc
379,,0.078304,67.166445,5.680,1.051,Cep
418,,0.085039,61.31397,5.800,-0.067,Cas
443,,0.088928,-5.707618,4.610,1.029,Psc
476,,0.094989,13.396266,5.550,0.901,Peg
518,,0.104356,58.436733,5.980,0.687,Cas
522,,0.105277,-49.075191,5.700,0.519,Phe
531,,0.10737,64.196168,5.570,-0.023,Cas
636,,0.129693,-22.50856,5.930,0.141,Cet
655,,0.134303,-33.529326,5.670,1.119,Scl
671,,0.138204,-8.824112,5.990,1.034,Cet
677,Alpheratz,0.139791,29.090432,2.070,-0.038,And
729,,0.150672,18.211963,5.570,1.043,Peg
746,Caph,0.152887,59.14978,2.280,0.38,Cas
761,,0.155851,-27.987928,5.420,0.414,Scl
765,,0.156836,-45.747426,3.880,1.013,Phe
813,,0.167278,11.145813,5.540,-0.064,Psc
814,,0.167293,-82.224047,5.290,1.049,Oct
840,,0.171908,-5.248588,5.840,0.973,Psc
841,,0.172012,46.072272,5.010,0.405,And
873,,0.178565,-12.579897,5.840,1.0,Cet
910,,0.187739,-15.467977,4.890,0.487,Cet
930,,0.192894,-27.799737,5.410,1.346,Scl
950,,0.195552,-35.133119,5.240,0.459,Scl
983,,0.202773,-17.938278,5.290,1.478,Cet
1067,Algenib,0.220598,15.183596,2.830,-0.19,Peg
1074,,0.222099,-84.993978,5.780,1.71,Oct
1086,,0.22524,41.03537,5.710,0.331,And
1096,,0.228401,-26.022345,5.940,1.548,Scl
1158,,0.241008,-7.780532,5.130,1.601,Cet
1168,,0.243378,20.206702,4.790,1.572,Peg
1170,,0.244005,-18.932866,4.440,1.64,Cet
1191,,0.248476,-9.569571,5.770,-0.084,Cet
1288,,0.269126,-31.446394,5.660,1.35,Scl
1354,,0.282513,61.533185,5.740,0.898,Cas
1366,,0.284863,38.681636,4.610,0.059,And
1372,,0.285845,47.947405,5.860,-0.079,Cas
1473,,0.305463,36.785224,4.510,0.054,And
1493,,0.310625,31.517227,5.880,-0.014,And
1562,,0.323799,-8.823921,3.560,1.214,Cet
1599,,0.334142,-64.874791,4.230,0.576,Tuc
1630,,0.340111,30.935614,5.890,-0.098,And
1645,,0.343295,8.190271,5.380,1.343,Psc
1647,,0.344178,-69.624913,5.500,-0.046,Tuc
1657,,0.345978,32.911186,5.790,1.595,And
1686,,0.352017,37.968603,5.160,0.442,And
1706,,0.357986,-77.426873,5.960,1.397,Hyi
1708,,0.358665,-28.981469,5.180,1.006,Scl
1728,,0.362853,-20.058024,5.610,1.58,Cet
1921,,0.404348,52.019914,5.580,-0.11,Cas
1960,,0.413193,61.831057,5.380,0.008,Cas
1982,,0.418445,53.046786,5.720,-0.056,Cas
2006,,0.423391,1.939692,5.770,0.855,Psc
2021,,0.427916,-77.254247,2.820,0.618,Hyi
2072,,0.436716,-43.679829,3.930,0.175,Phe
2081,Ankaa,0.438056,-42.305981,2.400,1.083,Phe
2159,,0.454085,-25.54717,5.990,1.022,Scl
2210,,0.465472,-33.007167,4.860,1.634,Scl
2219,,0.467475,17.893125,5.010,1.584,Psc
2225,,0.470454,44.394452,5.180,0.043,And
2240,,0.474027,-39.915002,5.420,1.556,Phe
2353,,0.500655,-3.957332,5.720,1.545,Cet
2355,,0.502045,29.751557,5.200,0.271,And
2377,,0.505534,59.977554,5.940,-0.003,Cas
2381,,0.506293,-23.78768,5.170,0.128,Cet
2383,,0.507242,-48.21491,5.670,0.367,Phe
2472,,0.523594,-48.803514,4.760,0.018,Phe
2475,,0.523787,33.581642,5.880,1.133,And
2484,,0.525725,-62.958218,4.360,-0.064,Tuc
2487,,0.525946,-62.965561,4.530,0.147,Tuc
2497,,0.528105,52.839526,5.590,1.163,Cas
2505,,0.529539,54.522289,4.740,-0.098,Cas
2548,,0.539939,6.955463,5.690,-0.014,Psc
2568,,0.543189,20.294316,5.380,1.069,Psc
2578,,0.545512,-63.0315,5.070,0.038,Tuc
2599,,0.549997,62.931783,4.170,0.13,Cas
2611,,0.552879,54.894985,5.930,1.037,Cas
2661,,0.561401,-29.558278,5.550,1.262,Scl
2711,,0.574374,-52.37309,5.570,0.472,Phe
2762,,0.587466,-3.592846,5.200,0.567,Cet
2787,,0.592454,-0.50561,5.940,0.444,Cet
2802,,0.594767,-48.000907,5.510,0.461,Phe
2854,,0.602306,54.16845,5.080,-0.098,Cas
2876,,0.607595,60.326215,5.780,0.294,Cas
2900,,0.612903,44.488587,5.140,1.587,And
2903,,0.613142,15.231725,5.890,-0.146,Psc
2912,,0.61468,33.719344,4.340,-0.123,And
2920,Fulu,0.616188,53.896909,3.690,-0.196,Cas
2941,,0.622393,-24.767267,5.570,0.715,Cet
2942,,0.622561,35.399501,5.450,0.886,And
3031,,0.642602,29.311751,4.340,0.871,And
3083,,0.652748,49.354589,5.450,1.644,Cas
3092,,0.655462,30.861024,3.270,1.268,And
3093,,0.656063,21.250472,5.880,0.85,Psc
3137,,0.664428,-44.796293,6.000,1.142,Phe
3138,,0.665436,21.438495,5.360,1.16,Psc
3170,,0.673659,-59.454604,5.890,0.564,Tuc
3179,Schedar,0.675116,56.537331,2.240,1.17,Cas
3193,,0.678437,-4.351841,5.900,1.091,Cet
3231,,0.68533,39.458664,5.300,0.891,And
3245,,0.688766,-46.085007,4.590,0.953,Phe
3277,,0.69621,-56.501315,5.720,0.131,Phe
3299,,0.700953,66.147592,5.830,1.042,Cas
3300,,0.701081,50.512526,4.800,-0.105,Cas
3330,,0.707869,-65.46803,5.380,0.515,Tuc
3352,,0.711609,-60.262807,5.990,1.318,Tuc
3405,,0.722567,-57.46306,4.360,0.024,Phe
3414,,0.724466,47.024546,4.950,0.17,Cas
3419,Diphda,0.72649,-17.986605,2.040,1.019,Cet
3455,,0.7365,-10.60955,4.770,0.998,Cet
3456,,0.736683,-38.421686,5.900,1.144,Scl
3478,,0.740612,47.863984,5.660,-0.113,Cas
3504,,0.74542,48.284364,4.480,-0.069,Cas
3505,,0.745666,-22.006135,5.220,0.35,Cet
3521,,0.749187,-42.676558,5.940,0.297,Phe
3544,,0.754774,55.221396,5.410,0.022,Cas
3572,,0.760862,74.988073,5.640,0.078,Cas
3583,,0.76265,-47.551985,5.800,0.635,Phe
3607,,0.769929,-22.522097,5.490,0.978,Cet
3632,,0.775822,15.475504,5.360,1.559,Psc
3675,,0.783738,11.973849,5.510,0.987,Psc
3693,Shimu,0.788981,24.267178,4.080,1.1,And
3697,,0.789898,6.740956,5.980,0.941,Psc
3717,,0.795339,-18.061339,5.700,1.3,Cet
3721,,0.796119,74.847573,5.420,-0.066,Cas
3741,,0.800296,-21.722492,5.570,-0.058,Cet
3750,,0.802487,72.674482,5.860,1.01,Cas
3760,,0.804836,7.299928,5.920,1.104,Psc
3765,96 G. Psc,0.806382,5.280615,5.740,0.89,Psc
3781,,0.809777,-74.923438,5.090,1.345,Hyi
3786,,0.811373,7.585079,4.440,1.5,Psc
3801,,0.813892,50.968168,4.900,-0.091,Cas
3810,,0.816308,16.940644,5.070,0.502,Psc
3821,Achird,0.81826,57.815187,3.460,0.587,Cas
3834,,0.82054,-24.136672,5.900,0.944,Cet
3849,,0.823782,-13.561274,5.590,1.325,Cet
3881,,0.830234,41.078911,4.530,-0.136,And
3885,,0.831433,27.710286,5.550,0.398,Psc
3909,,0.835443,-10.644326,5.170,0.514,Cet
3949,,0.844768,-50.986816,5.240,0.356,Phe
3951,,0.845442,64.247549,5.350,0.528,Cas
4104,,0.877951,-24.005844,5.470,1.275,Cet
4147,,0.883471,-1.14426,4.780,1.55,Cet
4151,,0.884511,61.12397,4.800,0.54,Cas
4200,,0.893839,-62.871352,5.730,1.574,Tuc
4267,,0.909785,19.188417,5.800,-0.016,Psc
4283,,0.914667,83.707435,5.590,0.105,Cep
4288,,0.916139,23.628335,5.460,1.012,And
4292,,0.916715,58.972698,4.830,1.216,Cas
4293,,0.916751,-69.527084,5.450,1.095,Tuc
4346,,0.928444,-7.347149,5.880,1.52,Cet
4371,,0.933747,-11.266526,5.350,1.505,Cet
4422,Castula,0.944432,59.181056,4.620,0.957,Cas
4427,Cih,0.945143,60.71674,2.150,-0.046,Cas
4436,,0.945885,38.499345,3.860,0.13,And
4440,,0.946377,60.362836,5.560,-0.054,Cas
4463,Kui,0.953445,23.417648,4.400,0.94,And
